#{"t_start": 1761346483.333612, "env_id": "None"}
r,l,t
-943.525521,1000,0.132258
195.62409,363,0.177606
-1038.272583,1000,0.701931
550.427656,188,0.725735
-741.050903,1000,0.850585
-570.438423,1000,1.369496
-576.507199,1000,2.436649
-184.697291,607,2.92337
685.836393,169,2.94573
-988.018254,1000,3.078139
652.30605,374,3.127987
594.626848,310,3.169643
-26.679766,865,3.703448
575.062931,237,3.73465
798.611883,318,3.779264
237.569811,75,3.789504
584.203667,147,3.809578
151.862914,569,9.827094
222.290621,123,11.272691
419.807545,288,11.43977
252.011853,546,11.914888
264.10385,92,11.996537
699.298355,282,12.230793
275.868775,271,12.456419
626.097968,196,12.649667
275.708491,138,12.776194
313.320727,379,14.695988
586.487776,172,14.853355
602.984855,154,14.971397
762.796345,224,15.135811
291.087159,106,15.2391
582.036494,343,15.537672
530.164821,135,15.642488
579.917604,193,15.779675
304.590479,79,15.84009
258.07073,161,15.964834
283.469162,68,16.01959
431.112952,132,16.115763
-808.914171,1000,21.557575
-261.436196,827,22.116905
604.102608,306,23.936735
273.323943,234,24.122387
393.522075,89,24.181342
333.473809,646,24.66077
730.59836,154,24.7798
211.47252,204,24.936178
417.296925,118,25.022017
454.740208,130,25.108475
349.656413,164,25.212548
575.971401,183,25.361839
459.700247,83,26.896392
392.812052,139,26.977717
290.003038,91,27.046895
316.923595,809,27.619145
420.955898,189,27.774724
313.235713,171,27.873993
380.110792,135,27.963304
294.837761,47,31.384001
341.432837,95,31.435004
319.107808,274,31.645724
648.601675,177,33.783305
291.691543,42,33.812307
441.353593,262,34.000318
133.339993,364,34.295677
229.016829,75,34.361191
312.681949,52,34.401476
723.032562,115,34.487288
520.864168,117,34.571926
551.844996,213,34.721303
340.028363,153,34.859262
793.834983,252,35.012214
842.391812,151,35.098867
250.893086,20,35.12388
741.434677,130,35.210045
389.712313,453,36.973482
414.215076,115,37.046168
367.605026,304,37.237574
390.330997,55,37.275464
576.807366,101,37.351836
276.762191,682,37.827164
533.951337,103,37.883683
444.08666,165,38.000113
270.512128,128,39.542946
242.056879,283,39.72356
576.570626,95,39.781839
207.00999,103,42.358616
250.899943,305,42.574655
545.394714,72,42.621683
897.256952,156,42.759013
527.889775,110,42.828882
677.880736,215,42.986531
344.119973,32,43.012988
691.929126,175,43.147853
659.353845,91,43.230701
300.311202,48,43.276109
715.793341,246,43.513412
555.887899,100,45.130316
531.032687,235,45.316995
549.988246,60,45.351179
614.974363,271,45.521029
438.454968,50,45.559547
490.573178,88,45.630078
360.343904,43,45.661984
247.875929,39,45.697056
504.831823,101,45.77201
235.585163,73,45.823099
722.095388,88,45.884918
588.055524,63,45.933902
394.039186,82,45.996214
777.392529,143,46.102171
732.522554,488,46.447411
178.250303,150,46.539217
489.697601,276,48.295042
469.545856,64,48.333937
479.893225,426,48.612436
298.04148,41,48.634875
398.774882,81,48.69909
401.683289,67,48.746738
488.124858,297,48.936612
491.079652,382,51.745579
729.885709,98,51.814966
234.687707,34,51.841648
586.249436,72,51.895573
630.068277,167,52.024737
608.173883,63,52.07277
626.544725,63,53.756827
235.912201,20,53.770292
613.474196,82,53.831566
449.206481,65,53.882138
454.990787,101,53.963191
175.864127,233,54.148964
803.65838,90,54.264419
521.810993,287,54.468032
272.88359,284,54.692977
332.892358,37,54.715968
549.03599,74,54.77017
887.729099,414,55.063825
776.730353,84,55.114051
627.575534,77,55.171682
502.565434,211,56.956557
331.549396,49,56.986531
652.89181,191,57.109723
547.606575,89,57.170372
823.844867,243,57.378449
528.952484,56,57.412485
537.901434,113,57.493056
565.234368,244,57.681701
680.081589,85,57.737423
545.11069,66,57.794202
216.588032,180,57.911397
673.332161,150,58.024232
814.679784,278,58.197815
786.222608,123,58.267887
437.781315,130,58.363228
418.43886,154,59.896605
219.081153,139,62.975881
364.864792,921,63.752909
412.031233,63,63.803177
404.219726,200,63.947528
389.564094,289,64.161663
513.077588,71,64.216844
306.46501,37,64.246568
604.760661,65,64.291967
364.136928,63,64.347323
258.358763,16,64.357649
570.479736,340,66.106417
