#{"t_start": 1761348068.0671701, "env_id": "None"}
r,l,t
662.23157,1000,0.636378
-10786.944583,1000,0.778109
-397.230518,1000,1.342062
-2981.477141,1000,1.480282
6207.61202,1000,2.011697
114.895357,1000,2.150663
950.851403,1000,2.688444
1326.529143,1000,2.83224
-327.991964,1000,3.384293
-6654.419672,1000,3.528498
-10011.972494,1000,5.010249
1066.539517,81,5.021783
-2661.856816,1000,5.164294
846.209102,295,5.620951
-10697.59959,1000,5.762635
-10442.026377,1000,6.300444
-8428.682448,1000,6.443083
1156.221862,252,6.478718
-11301.177812,1000,7.011672
-11993.960422,1000,7.150078
-1027.853203,1000,7.68092
1767.661538,1000,7.818859
-2248.697662,1000,9.481238
-1091.02615,1000,9.6263
-3785.039658,1000,10.160613
-2941.6185,1000,10.300896
-1253.143465,1000,10.832273
-1772.8244,1000,10.979935
-1584.531101,1000,11.516922
-1330.768425,1000,11.657856
-10554.454081,1000,11.795637
87.394979,1000,12.337097
-2247.646857,1000,13.65111
-7959.443614,1000,14.185709
3971.901839,1000,14.324949
-648.585478,1000,14.864054
-3030.311552,1000,15.003309
-10340.9275,1000,15.535975
3202.824775,1000,15.679399
1196.013157,384,16.1295
3587.354527,1000,16.267869
-2402.274335,1000,16.80537
-9944.502144,1000,17.955356
813.049931,40,17.961238
1866.203189,1000,18.494084
2879.557904,1000,18.633206
-2361.137295,1000,19.163532
-19.534769,134,19.183347
5584.975803,1000,19.32415
2001.779778,351,19.373039
1713.463256,542,19.853925
939.563616,114,19.871483
5575.033571,1000,20.019184
978.701978,63,20.028521
445.766108,74,20.0396
5136.037827,1000,20.574125
2918.53034,538,20.648503
396.26138,131,20.666515
3302.390963,406,20.722465
5903.258912,911,21.249846
-6045.095235,859,22.518642
2263.840455,1000,22.658828
7962.258283,970,23.198802
2837.687318,215,23.229388
3297.942918,1000,23.790701
994.313435,325,23.836391
252.771184,180,23.861406
1403.569816,150,23.882699
162.65065,233,23.91821
2407.88062,346,23.968297
1545.164688,102,23.983054
2464.356462,345,24.030877
1186.275806,60,24.039471
3032.543243,292,24.479447
1295.253912,128,24.497562
3751.976325,941,24.629378
2960.050057,577,24.709938
340.893086,179,24.734903
-417.466935,262,25.160733
2722.952868,150,25.18188
1093.31279,324,25.227013
-1248.559154,353,25.276377
3713.148033,447,25.338812
1821.352094,119,25.355507
1701.938436,127,25.373465
2761.750647,157,25.395804
603.890783,30,25.400224
2240.544602,252,25.825389
1081.273225,119,25.842827
1074.656128,167,25.866447
2231.588745,198,25.894269
1167.552141,250,26.889634
2414.89991,285,26.92976
3624.353663,359,26.980628
2101.334082,143,27.001028
1508.003399,84,27.013019
3450.253557,439,27.471543
3567.967678,376,27.526268
1837.699412,148,27.547985
492.590657,136,27.567959
748.784609,45,27.574533
792.397193,222,27.606915
2683.632334,180,27.632942
700.837556,189,27.65962
-2698.269031,454,27.725632
804.959686,54,27.733475
2227.651989,210,28.159079
3365.41672,271,28.197783
974.447462,48,28.204572
1377.606499,135,28.223687
2771.204866,187,28.249739
2591.949384,162,28.272593
466.459706,25,28.276203
482.832981,19,28.278959
985.429865,66,28.288256
2609.236013,1000,28.427817
1314.540231,65,28.43709
3001.862498,794,28.944777
953.197333,47,28.951644
1550.776082,410,29.010905
1824.042882,221,29.04245
2937.134388,199,29.070608
761.439301,56,29.078499
5742.188793,820,29.591816
3127.806317,307,29.634782
1812.852871,219,29.665375
895.188003,99,29.67906
1689.371465,511,29.75014
1441.754895,63,29.759465
