#{"t_start": 1761346479.375969, "env_id": "None"}
r,l,t
-925.628772,500,0.605034
-680.874072,500,0.671299
-1224.598265,500,0.734649
-179.629003,500,0.79822
-533.249345,500,1.308721
-219.875998,500,1.371744
-765.724181,500,1.43447
213.051526,500,1.496809
735.221886,221,1.919348
321.614178,148,1.938081
154.675879,500,2.001034
311.177299,63,2.009081
574.337126,298,2.046388
-44.827192,484,2.10734
577.298158,165,2.128053
-211.240456,500,2.586085
348.326252,406,2.636944
10.754694,436,2.691183
495.624439,181,2.71367
154.369942,363,2.758591
68.878118,207,2.784171
350.532899,139,2.801494
-17.127692,467,3.254549
446.420123,144,3.272799
543.305013,250,3.304087
401.013839,164,3.324655
249.65873,36,3.329245
131.246911,79,3.339113
392.714781,120,3.354231
-25.663885,500,3.417297
567.529827,123,3.432864
181.976634,129,3.923258
